Players,Team,Type,Base,Sold,Team_Name
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru
Yash Dayal,RCB,BOWL,-,5.0,Royal Challengers Bengaluru
Jasprit Bumrah,MI,BOWL,-,18.0,Mumbai Indians
Suryakumar Yadav,MI,BAT,-,16.35,Mumbai Indians
Hardik Pandya,MI,AR,-,16.35,Mumbai Indians
Rohit Sharma,MI,BAT,-,16.3,Mumbai Indians
Tilak Varma,MI,AR,-,8.0,Mumbai Indians
Heinrich Klaasen,SRH,BAT,-,23.0,Sunrisers Hyderabad
Pat Cummins,SRH,AR,-,18.0,Sunrisers Hyderabad
Abhishek Sharma,SRH,AR,-,14.0,Sunrisers Hyderabad
Travis Head,SRH,BAT,-,14.0,Sunrisers Hyderabad
Nitish Kumar Reddy,SRH,AR,-,6.0,Sunrisers Hyderabad
Ruturaj Gaikwad,CSK,BAT,-,18.0,Chennai Super Kings
Ravindra Jadeja,CSK,AR,-,18.0,Chennai Super Kings
Matheesha Pathirana,CSK,BOWL,-,13.0,Chennai Super Kings
Shivam Dube,CSK,AR,-,12.0,Chennai Super Kings
MS Dhoni,CSK,BAT,-,4.0,Chennai Super Kings
Axar Patel,DC,AR,-,16.5,Delhi Capitals
Kuldeep Yadav,DC,BOWL,-,13.25,Delhi Capitals
Tristan Stubbs,DC,BAT,-,10.0,Delhi Capitals
Abishek Porel,DC,BAT,-,4.0,Delhi Capitals
Rinku Singh,KKR,BAT,-,13.0,Kolkata Knight Riders
Varun Chakravarthy,KKR,AR,-,12.0,Kolkata Knight Riders
Sunil Narine,KKR,BOWL,-,12.0,Kolkata Knight Riders
Andre Russell,KKR,AR,-,12.0,Kolkata Knight Riders
Harshit Rana,KKR,BOWL,-,4.0,Kolkata Knight Riders
Ramandeep Singh,KKR,AR,-,4.0,Kolkata Knight Riders
Sanju Samson,RR,BAT,-,18.0,Rajasthan Royals
Yashasvi Jaiswal,RR,AR,-,18.0,Rajasthan Royals
Riyan Parag,RR,AR,-,14.0,Rajasthan Royals
Dhruv Jurel,RR,BAT,-,14.0,Rajasthan Royals
Shimron Hetmyer,RR,BAT,-,11.0,Rajasthan Royals
Sandeep Sharma,RR,BOWL,-,4.0,Rajasthan Royals
Rashid Khan,GT,BOWL,-,18.0,Gujarat Titans
Shubman Gill,GT,BAT,-,16.5,Gujarat Titans
Sai Sudharsan,GT,AR,-,8.5,Gujarat Titans
Rahul Tewatia,GT,AR,-,4.0,Gujarat Titans
M Shahrukh Khan,GT,AR,-,4.0,Gujarat Titans
Nicholas Pooran,LSG,BAT,-,21.0,Lucknow Super Giants
Ravi Bishnoi,LSG,BOWL,-,11.0,Lucknow Super Giants
Mayank Yadav,LSG,BOWL,-,11.0,Lucknow Super Giants
Mohsin Khan,LSG,BOWL,-,4.0,Lucknow Super Giants
Ayush Badoni,LSG,AR,-,4.0,Lucknow Super Giants
Shashank Singh,PBKS,AR,-,5.5,Punjab Kings
Prabhsimran Singh,PBKS,BAT,-,4.0,Punjab Kings
Jos Buttler,GT,BAT,2.00,15.75,Gujarat Titans
Shreyas Iyer,PBKS,BAT,2.00,26.75,Punjab Kings
Rishabh Pant,LSG,BAT,2.00,27.0,Lucknow Super Giants
Kagiso Rabada,GT,BOWL,2.00,10.75,Gujarat Titans
Arshdeep Singh,PBKS,BOWL,2.00,18.0,Punjab Kings
Mitchell Starc,DC,BOWL,2.00,11.75,Delhi Capitals
