name,fullName,season,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s
A Ashish Reddy,Ashish Reddy,2008,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2009,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2010,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2011,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2012,5,35,29,3,1,100.0,5,35,29,3,1,7.241379310344827
A Ashish Reddy,Ashish Reddy,2013,10,125,89,9,4,121.66,15,160,118,12,5,8.135593220338983
A Ashish Reddy,Ashish Reddy,2014,0,0,0,0,0,0.0,15,160,118,12,5,8.135593220338983
A Ashish Reddy,Ashish Reddy,2015,5,73,46,3,5,144.44,15,198,135,12,9,8.8
A Ashish Reddy,Ashish Reddy,2016,3,47,29,2,4,162.5,8,120,75,5,9,9.6
A Ashish Reddy,Ashish Reddy,2017,0,0,0,0,0,0.0,8,120,75,5,9,9.6
A Ashish Reddy,Ashish Reddy,2018,0,0,0,0,0,0.0,3,47,29,2,4,9.724137931034482
A Ashish Reddy,Ashish Reddy,2019,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2020,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2021,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2022,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2023,0,0,0,0,0,0.0,0,0,0,0,0,
A Ashish Reddy,Ashish Reddy,2024,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2008,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2009,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2010,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2011,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2012,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2013,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2014,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2015,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2016,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2017,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2018,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2019,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2020,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2021,0,0,0,0,0,0.0,0,0,0,0,0,
A Badoni,Ayush Badoni,2022,11,161,130,11,7,100.0,11,161,130,11,7,7.430769230769231
A Badoni,Ayush Badoni,2023,12,238,172,13,12,126.38499999999999,23,399,302,24,19,7.927152317880795
A Badoni,Ayush Badoni,2024,10,207,152,21,3,116.2,33,606,454,45,22,8.008810572687224
A Chandila,Ajit  Chandila,2008,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2009,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2010,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2011,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2012,1,0,1,0,0,0.0,1,0,1,0,0,0.0
A Chandila,Ajit  Chandila,2013,1,4,6,0,0,66.66,2,4,7,0,0,3.4285714285714284
A Chandila,Ajit  Chandila,2014,0,0,0,0,0,0.0,2,4,7,0,0,3.4285714285714284
A Chandila,Ajit  Chandila,2015,0,0,0,0,0,0.0,1,4,6,0,0,4.0
A Chandila,Ajit  Chandila,2016,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2017,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2018,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2019,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2020,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2021,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2022,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2023,0,0,0,0,0,0.0,0,0,0,0,0,
A Chandila,Ajit  Chandila,2024,0,0,0,0,0,0.0,0,0,0,0,0,
A Chopra,Aakash Chopra,2008,5,42,52,5,0,66.66,5,42,52,5,0,4.846153846153846
A Chopra,Aakash Chopra,2009,1,11,19,2,0,57.89,6,53,71,7,0,4.47887323943662
A Chopra,Aakash Chopra,2010,0,0,0,0,0,0.0,6,53,71,7,0,4.47887323943662
A Chopra,Aakash Chopra,2011,0,0,0,0,0,0.0,1,11,19,2,0,3.473684210526316
A Chopra,Aakash Chopra,2012,0,0,0,0,0,0.0,0,0,0,0,0,
