name,fullName,season,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
A Ashish Reddy,Ashish Reddy,2008,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Ashish Reddy,Ashish Reddy,2009,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Ashish Reddy,Ashish Reddy,2010,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Ashish Reddy,Ashish Reddy,2011,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
A Ashish Reddy,Ashish Reddy,2012,9,163,0,237,11,56,14,12,4,2,8.5,9,163,0,237,11,56,14,12,4,2,8.723926380368098,8.723926380368098
A Ashish Reddy,Ashish Reddy,2013,5,40,0,70,3,11,7,3,1,0,10.5,14,203,0,307,14,67,21,15,5,2,10.5,9.073891625615763
A Ashish Reddy,Ashish Reddy,2014,0,0,0,0,0,0,0,0,0,0,0.0,14,203,0,307,14,67,21,15,5,2,,9.073891625615763
A Ashish Reddy,Ashish Reddy,2015,4,36,0,50,3,10,1,3,1,0,8.5,9,76,0,120,6,21,8,6,2,0,8.333333333333334,9.473684210526315
A Ashish Reddy,Ashish Reddy,2016,2,23,0,39,1,6,4,2,0,0,10.315000000000001,6,59,0,89,4,16,5,5,1,0,10.173913043478262,9.05084745762712
A Ashish Reddy,Ashish Reddy,2017,0,0,0,0,0,0,0,0,0,0,0.0,6,59,0,89,4,16,5,5,1,0,,9.05084745762712
A Ashish Reddy,Ashish Reddy,2018,0,0,0,0,0,0,0,0,0,0,0.0,2,23,0,39,1,6,4,2,0,0,,10.173913043478262
A Ashish Reddy,Ashish Reddy,2019,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
