Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count,name,nmatches_1s,total_runs_1s,ballsFaced_1s,total_fours_1s,total_sixes_1s,mediansr_1s,nmatches_3s,total_runs_3s,ballsFaced_3s,total_fours_3s,total_sixes_3s,run_rate_3s,nmatchesbowl_1s,ballsdelivr_1s,total_maidens_1s,total_runscon_1s,total_wickets_1s,total_dots_1s,total_4sconc_1s,total_6sconc_1s,total_wides_1s,total_noballs_1s,median_econ_1s,nmatchesbowl_3s,ballsdelivr_3s,total_maidens_3s,total_runscon_3s,total_wickets_3s,total_dots_3s,total_4sconc_3s,total_6sconc_3s,total_wides_3s,total_noballs_3s,economyRate_1s,economyRate_3s
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2008,0,0,V Kohli,12,165,157,18,4,94.945,12,165,157,18,4,6.305732484076433,4,46,0,61,2,8,3,1,2,1,8.5,4,46,0,61,2,8,3,1,2,1,7.956521739130435,7.956521739130435
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2009,0,0,V Kohli,13,246,219,22,8,91.66,25,411,376,40,12,6.558510638297872,3,36,0,46,0,10,2,1,3,0,8.33,7,82,0,107,2,18,5,2,5,1,7.666666666666667,7.829268292682927
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2010,0,0,V Kohli,13,307,212,26,12,141.66,38,718,588,66,24,7.326530612244898,4,32,0,50,0,8,3,2,0,1,9.0,11,114,0,157,2,26,8,4,5,2,9.375,8.263157894736842
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2011,2,2,V Kohli,16,557,460,55,16,112.035,42,1110,891,103,36,7.474747474747475,10,102,0,139,2,24,13,2,2,2,7.83,17,170,0,235,2,42,18,5,5,3,8.176470588235293,8.294117647058824
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2012,0,2,V Kohli,15,364,326,33,9,100.0,44,1228,998,114,37,7.382765531062124,2,18,0,49,0,2,4,4,0,0,15.5,16,152,0,238,2,34,20,8,2,3,16.333333333333332,9.394736842105264
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2013,3,5,V Kohli,16,634,457,64,22,126.51,47,1555,1243,152,47,7.50603378921963,0,0,0,0,0,0,0,0,0,0,0.0,12,120,0,188,2,26,17,6,2,2,,9.4
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2014,0,3,V Kohli,14,359,294,23,16,107.84,45,1357,1077,120,47,7.559888579387187,0,0,0,0,0,0,0,0,0,0,0.0,2,18,0,49,0,2,4,4,0,0,,16.333333333333332
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2015,1,4,V Kohli,16,505,386,35,23,116.115,46,1498,1137,122,61,7.905013192612137,2,11,0,10,0,2,0,0,0,0,5.4,2,11,0,10,0,2,0,0,0,0,5.454545454545454,5.454545454545454
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2016,5,6,V Kohli,16,973,640,83,38,137.015,46,1837,1320,141,77,8.35,1,6,0,13,0,1,0,1,0,2,13.0,3,17,0,23,0,3,0,1,0,2,13.0,8.117647058823529
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2017,0,6,V Kohli,10,308,252,23,11,121.29,42,1786,1278,141,72,8.384976525821596,0,0,0,0,0,0,0,0,0,0,0.0,3,17,0,23,0,3,0,1,0,2,,8.117647058823529
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2018,0,5,V Kohli,14,530,381,52,18,126.535,40,1811,1273,158,67,8.535742340926944,0,0,0,0,0,0,0,0,0,0,0.0,1,6,0,13,0,1,0,1,0,2,,13.0
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2019,1,1,V Kohli,14,464,328,46,13,130.85,38,1302,961,121,42,8.129032258064516,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2020,1,2,V Kohli,15,466,384,23,11,110.25,43,1460,1093,121,42,8.014638609332113,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2021,0,2,V Kohli,15,405,339,43,9,114.28,44,1335,1051,112,33,7.621313035204567,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2022,1,2,V Kohli,16,341,294,32,8,90.45,46,1212,1017,98,28,7.150442477876106,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2023,2,3,V Kohli,14,639,457,65,16,132.07999999999998,45,1385,1090,140,33,7.623853211009174,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2024,2,5,V Kohli,12,634,413,55,30,156.245,42,1614,1164,152,54,8.31958762886598,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2008,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2009,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2010,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2011,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2012,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2013,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2014,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2015,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2016,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2017,0,0,RM Patidar,0,0,0,0,0,0.0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,
