Players,Team,Type,Base,Sold,Team_Name,season,pom_s1count,pom_s3count
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2008,0,0
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2009,0,0
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2010,0,0
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2011,2,2
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2012,0,2
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2013,3,5
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2014,0,3
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2015,1,4
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2016,5,6
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2017,0,6
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2018,0,5
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2019,1,1
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2020,1,2
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2021,0,2
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2022,1,2
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2023,2,3
Virat Kohli,RCB,BAT,-,21.0,Royal Challengers Bengaluru,2024,2,5
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2008,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2009,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2010,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2011,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2012,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2013,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2014,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2015,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2016,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2017,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2018,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2019,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2020,0,0
Rajat Patidar,RCB,BAT,-,11.0,Royal Challengers Bengaluru,2021,0,0
