venue_name,season,id,total_balls,total_runs,target_runs,total_boundaries,win_margin_rwb,target_bin,boundary_bin
"Narendra Modi Stadium, Motera, Ahmedabad",2023,1359475,236,360.0,178,46.0,|5|4,170-200,41-50
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,1359476,216,337.0,191,46.0,7||,170-200,41-50
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,1359477,240,336.0,193,38.0,50||,170-200,31-40
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,1359478,240,334.0,203,42.0,72||,201-220,41-50
"M.Chinnaswamy Stadium, Bengaluru",2023,1359479,218,343.0,171,46.0,|8|22,170-200,41-50
"MA Chidambaram Stadium, Chepauk, Chennai",2023,1359480,240,422.0,217,50.0,12||,201-220,41-50
"Arun Jaitley Stadium, Delhi",2023,1359481,229,325.0,162,40.0,|6|11,140-169,31-40
"Barsapara Cricket Stadium, Guwahati",2023,1359482,240,389.0,197,49.0,5||,170-200,41-50
"Eden Gardens, Kolkata",2023,1359483,226,327.0,204,43.0,81||,201-220,41-50
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,1359484,216,248.0,121,29.0,|5|24,<140,20-30
"Barsapara Cricket Stadium, Guwahati",2023,1359485,240,341.0,199,45.0,57||,170-200,41-50
"Wankhede Stadium, Mumbai",2023,1359486,229,316.0,157,38.0,|7|11,140-169,31-40
"Narendra Modi Stadium, Motera, Ahmedabad",2023,1359487,240,411.0,204,55.0,|3|0,201-220,>50
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,1359488,223,288.0,143,48.0,|8|17,140-169,41-50
"M.Chinnaswamy Stadium, Bengaluru",2023,1359489,240,425.0,212,56.0,|1|0,201-220,>50
"Arun Jaitley Stadium, Delhi",2023,1359490,238,345.0,172,49.0,|6|0,170-200,41-50
"MA Chidambaram Stadium, Chepauk, Chennai",2023,1359491,240,347.0,175,36.0,3||,170-200,31-40
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,1359492,239,307.0,153,39.0,|6|1,140-169,31-40
"Eden Gardens, Kolkata",2023,1359493,240,433.0,228,61.0,23||,>220,>50
"M.Chinnaswamy Stadium, Bengaluru",2023,1359494,240,325.0,174,41.0,23||,170-200,41-50
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,1359495,237,320.0,159,39.0,|2|3,140-169,31-40
"Wankhede Stadium, Mumbai",2023,1359496,226,371.0,185,50.0,|5|14,170-200,41-50
"Narendra Modi Stadium, Motera, Ahmedabad",2023,1359497,236,356.0,177,45.0,|3|4,170-200,41-50
"M.Chinnaswamy Stadium, Bengaluru",2023,1359498,240,444.0,226,57.0,8||,>220,>50
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,1359499,239,370.0,192,50.0,14||,170-200,41-50
"Sawai Mansingh Stadium, Jaipur",2023,1359500,240,298.0,154,35.0,10||,140-169,31-40
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,1359501,230,324.0,174,37.0,24||,170-200,31-40
