pom,season,pom_s1count,pom_s3count
AB de Villiers,2008,0,0
AB de Villiers,2009,2,2
AB de Villiers,2010,0,2
AB de Villiers,2011,1,3
AB de Villiers,2012,3,4
AB de Villiers,2013,1,5
AB de Villiers,2014,2,6
AB de Villiers,2015,2,5
AB de Villiers,2016,4,8
AB de Villiers,2017,0,6
AB de Villiers,2018,3,7
AB de Villiers,2019,2,5
AB de Villiers,2020,3,8
AB de Villiers,2021,2,7
AB de Villiers,2022,0,5
AB de Villiers,2023,0,2
AB de Villiers,2024,0,0
Aaron Finch,2008,0,0
Aaron Finch,2009,0,0
Aaron Finch,2010,0,0
Aaron Finch,2011,0,0
Aaron Finch,2012,0,0
Aaron Finch,2013,1,1
Aaron Finch,2014,1,2
Aaron Finch,2015,0,2
Aaron Finch,2016,3,4
Aaron Finch,2017,0,3
Aaron Finch,2018,0,3
Aaron Finch,2019,0,0
Aaron Finch,2020,0,0
Aaron Finch,2021,0,0
Aaron Finch,2022,0,0
Aaron Finch,2023,0,0
Aaron Finch,2024,0,0
Abhinav Manohar,2008,0,0
Abhinav Manohar,2009,0,0
Abhinav Manohar,2010,0,0
Abhinav Manohar,2011,0,0
Abhinav Manohar,2012,0,0
Abhinav Manohar,2013,0,0
Abhinav Manohar,2014,0,0
Abhinav Manohar,2015,0,0
Abhinav Manohar,2016,0,0
Abhinav Manohar,2017,0,0
Abhinav Manohar,2018,0,0
Abhinav Manohar,2019,0,0
Abhinav Manohar,2020,0,0
Abhinav Manohar,2021,0,0
Abhinav Manohar,2022,0,0
Abhinav Manohar,2023,1,1
Abhinav Manohar,2024,0,1
Abhishek Jhunjhunwala,2008,0,0
Abhishek Jhunjhunwala,2009,0,0
Abhishek Jhunjhunwala,2010,1,1
Abhishek Jhunjhunwala,2011,0,1
Abhishek Jhunjhunwala,2012,0,1
Abhishek Jhunjhunwala,2013,0,0
Abhishek Jhunjhunwala,2014,0,0
Abhishek Jhunjhunwala,2015,0,0
Abhishek Jhunjhunwala,2016,0,0
Abhishek Jhunjhunwala,2017,0,0
Abhishek Jhunjhunwala,2018,0,0
Abhishek Jhunjhunwala,2019,0,0
Abhishek Jhunjhunwala,2020,0,0
Abhishek Jhunjhunwala,2021,0,0
Abhishek Jhunjhunwala,2022,0,0
Abhishek Jhunjhunwala,2023,0,0
Abhishek Jhunjhunwala,2024,0,0
Abhishek Sharma,2008,0,0
Abhishek Sharma,2009,0,0
Abhishek Sharma,2010,0,0
Abhishek Sharma,2011,0,0
Abhishek Sharma,2012,0,0
Abhishek Sharma,2013,0,0
Abhishek Sharma,2014,0,0
Abhishek Sharma,2015,0,0
Abhishek Sharma,2016,0,0
Abhishek Sharma,2017,0,0
Abhishek Sharma,2018,0,0
Abhishek Sharma,2019,0,0
Abhishek Sharma,2020,0,0
Abhishek Sharma,2021,0,0
Abhishek Sharma,2022,1,1
Abhishek Sharma,2023,0,1
Abhishek Sharma,2024,3,4
Adam Gilchrist,2008,2,2
Adam Gilchrist,2009,2,4
Adam Gilchrist,2010,0,4
Adam Gilchrist,2011,1,3
Adam Gilchrist,2012,1,2
Adam Gilchrist,2013,1,3
Adam Gilchrist,2014,0,2
Adam Gilchrist,2015,0,1
Adam Gilchrist,2016,0,0
Adam Gilchrist,2017,0,0
Adam Gilchrist,2018,0,0
Adam Gilchrist,2019,0,0
Adam Gilchrist,2020,0,0
Adam Gilchrist,2021,0,0
Adam Gilchrist,2022,0,0
Adam Gilchrist,2023,0,0
Adam Gilchrist,2024,0,0
Adam Voges,2008,0,0
Adam Voges,2009,0,0
Adam Voges,2010,1,1
Adam Voges,2011,0,1
Adam Voges,2012,0,1
Adam Voges,2013,0,0
Adam Voges,2014,0,0
Adam Voges,2015,0,0
Adam Voges,2016,0,0
Adam Voges,2017,0,0
Adam Voges,2018,0,0
Adam Voges,2019,0,0
Adam Voges,2020,0,0
Adam Voges,2021,0,0
Adam Voges,2022,0,0
Adam Voges,2023,0,0
Adam Voges,2024,0,0
Adam Zampa,2008,0,0
Adam Zampa,2009,0,0
Adam Zampa,2010,0,0
Adam Zampa,2011,0,0
